1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,Label
1.0027,2.0668,0.32939,0.67514,0.23567,0.27009,0.32402,0.26613,0.58781,0.56864,0.37923,0.46997,0.3197,0.15957,0.35414,0.29193,1.071,1.4884,0.72416,0.85546,0.51057,0.45824,0.56246,0.59187,0.46229,0.40175,0.35142,0.39953,0.55447,0.40027,0.29562,0.4875,1.0577,1.2213,1.4366,1.5119,1.1898,1.1141,1.607,1.4724,1.6202,1.3827,1.9123,1.8987,1.0628,1.4092,2.0128,1.6662,1.1207,1.2245,0.77277,0.95277,0.98831,0.95635,0.67268,0.71472,1.7336,1.6226,1.5229,1.9008,0.80812,1.5173,1.3065,1.1865,0.20109,0.15186,0.18411,0.14604,0.20716,0.17758,0.19238,0.16706,0.26527,0.24362,0.2678,0.25415,0.22267,0.23042,0.24393,0.24918,0.40663,0.4372,0.46329,0.42557,0.45792,0.47517,0.38529,0.43768,0.25666,0.32918,0.46106,0.3933,0.47397,0.42189,0.53523,0.49858,0.9819,1.1688,1.4833,1.326,0.94176,1.0513,1.363,1.4415,0.84697,0.78647,0.9935,0.80466,0.76173,0.86851,0.94315,0.82732,0.53389,0.49519,0.48897,0.47065,0.70886,0.63438,0.53608,0.52266,0.90816,0.96638,0.80261,0.89905,0.65823,0.76391,0.66989,1.052,0.29871,0.18665,0.18177,0.19702,0.20654,0.21417,0.18763,0.18679,0.21544,0.17702,0.1835,0.1839,0.20341,0.1887,0.1562,0.17837,0.20761,0.18166,0.16629,0.20017,0.19578,0.2069,0.16287,0.17566,0.184,0.18126,0.15902,0.15625,0.21688,0.14706,0.17377,0.16722,0.31254,0.26899,0.29882,0.28688,0.29063,0.26926,0.30128,0.30457,0.19187,0.22891,0.27461,0.23929,0.30056,0.25948,0.2283,0.28293,0.18132,0.17519,0.17093,0.19767,0.19129,0.23096,0.16302,0.18046,0.21786,0.22258,0.18626,0.20827,0.1928,0.19222,0.17341,0.20346,0.14535,0.16152,0.16176,0.16473,0.18224,0.16162,0.15494,0.15852,0.27552,0.24053,0.28055,0.24116,0.17898,0.20275,0.28144,0.25018,0.31653,0.31913,0.28948,0.35372,0.27886,0.28923,0.30452,0.27496,0.25955,0.25367,0.29164,0.24805,0.21857,0.26464,0.30267,0.25249,0.30617,0.30399,0.3109,0.3051,0.44704,0.38055,0.34329,0.36755,0.52455,0.41854,0.43665,0.48409,0.36195,0.37561,0.42652,0.44786,0.39402,0.37175,0.4632,0.45731,0.44735,0.45904,0.56376,0.42813,0.48779,0.42768,0.45783,0.32837,0.48455,0.46029,0.46663,S1
1.0925,2.181,0.29917,0.67219,0.25914,0.33678,0.35489,0.25511,0.82755,0.63021,0.33045,0.63346,0.32479,0.19242,0.38536,0.39546,1.1016,1.432,0.75793,0.99535,0.48872,0.43747,0.48639,0.53121,0.64037,0.44983,0.39254,0.42051,0.4477,0.42715,0.3188,0.51845,1.0164,1.1156,1.4905,1.2965,1.0553,1.3008,2.0164,1.5614,1.7128,1.4808,1.7772,2.4003,0.90141,1.3206,1.9154,1.657,1.1529,1.3469,0.73285,0.98741,0.99234,1.0188,0.62126,0.69878,1.7922,1.6759,1.654,2.047,0.84048,1.459,1.2933,1.1555,0.35864,0.1366,0.25379,0.17523,0.20894,0.17538,0.21936,0.16465,0.28899,0.28383,0.26115,0.24326,0.22759,0.23329,0.28748,0.27577,0.43136,0.47774,0.45546,0.42259,0.46105,0.54305,0.46756,0.52473,0.28467,0.31784,0.47217,0.40719,0.45909,0.42379,0.47044,0.48192,1.2677,0.98005,1.2425,1.1645,0.90617,1.1054,1.3786,1.4545,0.90067,0.88907,1.0469,0.85262,0.80458,0.84376,1.0315,0.9599,0.40387,0.50292,0.48927,0.59139,0.61799,0.56255,0.49032,0.56058,1.0059,1.0058,0.77144,0.97735,0.6423,0.58767,0.58327,0.65345,0.16529,0.17751,0.17482,0.18856,0.21404,0.21203,0.19862,0.20429,0.16787,0.15312,0.16168,0.15547,0.19882,0.17765,0.16621,0.16583,0.18797,0.16363,0.18462,0.17015,0.21278,0.17969,0.19844,0.17896,0.175,0.1612,0.14402,0.15923,0.21024,0.1906,0.17528,0.15294,0.33798,0.29857,0.32267,0.27974,0.27823,0.33723,0.34126,0.32911,0.21997,0.22669,0.23581,0.22622,0.24342,0.24465,0.24538,0.2545,0.14737,0.17693,0.16704,0.17467,0.17626,0.18801,0.16084,0.19729,0.17627,0.18174,0.20916,0.20998,0.19625,0.19476,0.19448,0.19726,0.14695,0.13541,0.1729,0.16474,0.24393,0.17353,0.15993,0.17724,0.32729,0.25124,0.26923,0.24067,0.18689,0.21688,0.26763,0.26465,0.32535,0.36743,0.33258,0.32522,0.31157,0.31619,0.28848,0.30824,0.32704,0.26938,0.27402,0.26705,0.2531,0.25287,0.2787,0.2747,0.29974,0.27641,0.29722,0.3142,0.34194,0.34258,0.30785,0.34489,0.4216,0.39284,0.40482,0.42816,0.35033,0.36274,0.41469,0.4027,0.32438,0.41519,0.46935,0.49566,0.48773,0.46278,0.42355,0.48227,0.44122,0.39637,0.49303,0.40333,0.46083,0.43635,0.44158,S1
1.2878,2.0853,0.31282,0.61725,0.23738,0.23029,0.29935,0.25454,0.59719,0.63419,0.31831,0.53961,0.26833,0.17259,0.31439,0.2877,1.0722,1.1836,0.7178,0.81365,0.56711,0.47542,0.52655,0.50936,0.50469,0.44806,0.33676,0.36188,0.47184,0.42087,0.30056,0.52759,1.3822,1.0558,1.4703,1.1428,1.2866,1.2782,1.6396,1.6803,1.4509,1.4984,2.1423,2.0199,1.1641,1.399,1.4652,1.623,0.98556,1.051,0.78871,0.90106,0.89096,1.0803,0.56635,0.65885,1.5732,1.6718,1.652,1.8843,0.75887,1.2574,1.2107,1.2676,0.28735,0.15887,0.19445,0.16147,0.19309,0.18438,0.16791,0.15797,0.29286,0.22177,0.27349,0.2826,0.19862,0.21704,0.24934,0.28559,0.43048,0.43683,0.48762,0.4849,0.48107,0.50753,0.43147,0.54257,0.28678,0.31944,0.507,0.3993,0.47224,0.47983,0.48192,0.57349,1.3667,1.093,1.2583,1.1643,0.95171,1.2043,1.4629,1.3944,0.98615,0.84253,0.94798,0.81506,0.83813,0.83616,0.82796,0.81268,0.49142,0.4846,0.49889,0.49741,0.6222,0.50298,0.49193,0.47898,0.87797,0.9223,0.81392,0.96898,0.69947,0.70487,0.60235,0.73602,0.42813,0.18517,0.18387,0.17665,0.21771,0.17951,0.19752,0.19034,0.19499,0.1683,0.14968,0.17413,0.19414,0.19046,0.16752,0.16723,0.15518,0.14726,0.17072,0.17574,0.21713,0.21568,0.17192,0.18178,0.18665,0.17831,0.14758,0.15746,0.20429,0.19306,0.14524,0.14883,0.31165,0.29492,0.27876,0.31519,0.27234,0.27426,0.31356,0.31157,0.20446,0.19771,0.23023,0.23369,0.26088,0.25377,0.26287,0.24833,0.14609,0.15375,0.15617,0.17055,0.1902,0.19718,0.17348,0.16231,0.18641,0.19839,0.19839,0.18518,0.17978,0.17511,0.18934,0.13967,0.17863,0.14586,0.1814,0.16868,0.1984,0.18528,0.1647,0.14963,0.2499,0.22633,0.23761,0.2282,0.19603,0.19676,0.24767,0.24014,0.36638,0.35656,0.31449,0.32086,0.27871,0.28175,0.3199,0.2857,0.28671,0.2688,0.31006,0.22039,0.23778,0.26035,0.31817,0.26344,0.28642,0.30675,0.30474,0.3091,0.36652,0.35097,0.33664,0.36339,0.42366,0.44303,0.41501,0.39379,0.35389,0.38405,0.4132,0.38442,0.38204,0.38499,0.4833,0.42019,0.42961,0.46111,0.49057,0.40603,0.46486,0.42194,0.50326,0.43848,0.46805,0.45178,0.44079,S1
0.96744,2.0956,0.30091,0.64995,0.2779,0.27531,0.29993,0.2539,0.57781,0.61563,0.30957,0.55157,0.33319,0.18121,0.32507,0.36681,0.96363,1.3761,0.67313,0.8982,0.5503,0.43339,0.54368,0.54754,0.53149,0.41656,0.38126,0.53668,0.44219,0.36499,0.29793,0.46583,0.86323,1.0987,1.6433,1.4524,1.2759,1.2441,1.6749,1.7413,1.7076,1.7859,1.96,2.3114,1.0643,1.5605,2.0676,1.743,0.89411,1.1545,0.6805,0.87265,1.0212,0.9168,0.62606,0.66262,1.9914,1.8271,1.4746,1.7444,0.85485,1.1592,1.4351,1.1995,0.17967,0.14356,0.19425,0.15586,0.21216,0.181,0.18437,0.15487,0.24636,0.27178,0.26792,0.28583,0.20997,0.22386,0.27806,0.23864,0.40355,0.47831,0.3829,0.4413,0.44484,0.54669,0.44985,0.51304,0.28524,0.31645,0.43616,0.38125,0.43281,0.39837,0.45327,0.49181,0.93415,1.0778,1.2946,1.2525,0.94813,1.184,1.428,1.3997,0.96453,0.77721,0.95329,1.0443,0.95721,0.88995,0.9166,0.85874,0.4832,0.49042,0.50781,0.51609,0.70179,0.55951,0.49175,0.45366,0.77605,1.0002,0.83535,1.0447,0.65769,0.70197,0.71103,0.91263,0.21953,0.16061,0.17857,0.21753,0.19529,0.1928,0.17503,0.21463,0.18332,0.17609,0.16282,0.18661,0.18389,0.19733,0.17313,0.16929,0.15788,0.14919,0.18282,0.14813,0.18702,0.18645,0.17366,0.19292,0.18869,0.17275,0.15175,0.16178,0.18781,0.1693,0.15694,0.17078,0.2918,0.30083,0.29249,0.32058,0.29237,0.25838,0.28326,0.2692,0.19623,0.22763,0.23948,0.19771,0.29336,0.24367,0.2628,0.21004,0.17819,0.16015,0.16287,0.19901,0.19045,0.202,0.15935,0.19043,0.192,0.2165,0.21209,0.23644,0.15954,0.17823,0.18554,0.22466,0.16917,0.12244,0.16286,0.15539,0.17239,0.16483,0.15598,0.15981,0.24858,0.21182,0.25343,0.23459,0.19317,0.20291,0.2166,0.23848,0.34995,0.30095,0.32075,0.34077,0.27432,0.30525,0.29694,0.29979,0.23479,0.26147,0.26195,0.26823,0.25095,0.23003,0.27513,0.26371,0.32059,0.274,0.30384,0.31973,0.34361,0.34777,0.30851,0.39587,0.37887,0.4665,0.46329,0.42664,0.33298,0.38442,0.43783,0.37691,0.32391,0.33942,0.47577,0.46098,0.46463,0.42066,0.4681,0.43269,0.49695,0.45709,0.4923,0.43413,0.49225,0.46293,0.48934,S1
1.4454,2.0702,0.2506,0.72837,0.20958,0.32998,0.20781,0.29044,0.40931,0.44045,0.38484,0.4285,0.31673,0.19321,0.38119,0.40592,0.8518,1.0731,0.57272,0.67015,0.3979,0.45311,0.51748,0.54629,0.37293,0.36309,0.34064,0.37773,0.38459,0.42772,0.22392,0.47416,1.1476,1.091,1.2956,1.1859,1.1187,1.0281,1.5405,1.3006,1.4093,1.2435,1.43,1.4723,1.0136,1.5805,1.4328,1.3462,0.76991,0.99587,0.58822,0.75753,1.0928,1.1076,0.60239,0.65037,1.268,1.3698,1.257,1.9509,0.84547,1.1737,1.1472,1.2255,0.33164,0.1746,0.1532,0.24322,0.19395,0.19742,0.13928,0.17459,0.2768,0.26427,0.2535,0.22835,0.17476,0.18848,0.24207,0.25524,0.44962,0.4652,0.3473,0.41737,0.48416,0.47878,0.3959,0.4064,0.26345,0.28811,0.47598,0.38867,0.43517,0.51761,0.48704,0.50337,1.1904,0.9572,1.1579,1.0915,0.98747,0.88025,1.2591,1.0499,0.64381,0.77039,0.6598,0.79373,0.83831,0.9417,0.72941,0.6543,0.43718,0.49962,0.47118,0.48856,0.62432,0.56556,0.4788,0.44187,0.64677,0.88529,0.66211,0.95134,0.62114,0.7527,0.50228,0.51097,0.17845,0.15716,0.17133,0.16857,0.19619,0.17612,0.17976,0.17876,0.22568,0.16999,0.14956,0.16499,0.17601,0.18422,0.19344,0.16498,0.17135,0.14355,0.20311,0.18169,0.1781,0.21306,0.18295,0.1745,0.17264,0.18314,0.14784,0.15067,0.1824,0.17355,0.16462,0.14205,0.28711,0.31732,0.26149,0.26757,0.2566,0.25024,0.31537,0.26504,0.19998,0.18839,0.2078,0.22531,0.26198,0.25019,0.27329,0.23192,0.17825,0.16789,0.18103,0.2042,0.17667,0.18358,0.1698,0.18582,0.1799,0.20336,0.20337,0.22941,0.1841,0.18072,0.2028,0.23614,0.20868,0.17119,0.16457,0.19029,0.19438,0.18101,0.15963,0.15985,0.26106,0.22455,0.25359,0.21106,0.19217,0.18875,0.21513,0.20122,0.37482,0.33637,0.3306,0.31472,0.27231,0.29653,0.30567,0.30091,0.23067,0.21806,0.30342,0.25186,0.28132,0.25736,0.2933,0.29163,0.35847,0.31098,0.29226,0.31031,0.32589,0.33789,0.29894,0.38751,0.37737,0.42057,0.38955,0.42304,0.32005,0.31402,0.45318,0.3658,0.45086,0.43618,0.48147,0.47846,0.4247,0.50117,0.45597,0.45067,0.4129,0.44066,0.48018,0.41132,0.43726,0.49964,0.49194,S1
1.7273,2.2006,0.25783,0.73654,0.19369,0.2641,0.22751,0.26438,0.5502,0.51393,0.4008,0.5957,0.22068,0.17412,0.42046,0.3121,0.95431,1.2438,0.6019,0.776,0.32569,0.44902,0.44744,0.65861,0.43823,0.38452,0.35068,0.41893,0.34236,0.4603,0.25981,0.43534,1.4179,1.2797,1.4939,1.3876,1.1982,1.0115,1.3727,1.5397,1.1936,1.2045,1.417,1.4873,1.0748,1.6486,1.5299,1.3778,0.80378,1.1108,0.54699,0.79558,1.0891,1.0232,0.5334,0.56217,1.3896,1.5506,1.2309,1.949,0.96265,1.3308,1.1459,1.1124,0.28372,0.15484,0.17516,0.18518,0.19519,0.24336,0.15509,0.17361,0.25178,0.2651,0.23915,0.26758,0.18201,0.20634,0.25877,0.24435,0.44328,0.41408,0.44118,0.45735,0.44493,0.49034,0.47645,0.46558,0.27959,0.32877,0.4791,0.36823,0.44007,0.5408,0.4395,0.48648,1.1842,1.1457,1.2589,1.1524,0.9889,0.76762,1.1616,1.2174,0.74086,0.71172,0.67151,0.76384,0.86382,0.84052,0.75175,0.75667,0.42797,0.43642,0.41671,0.43749,0.73016,0.61577,0.48727,0.54335,0.76658,0.84216,0.70088,0.90969,0.63742,0.66127,0.65621,0.66857,0.2582,0.15369,0.16416,0.17811,0.18406,0.19912,0.17413,0.20317,0.15531,0.14663,0.16038,0.17653,0.16328,0.16462,0.18019,0.17028,0.16434,0.15044,0.18682,0.17047,0.19182,0.19457,0.18602,0.16795,0.15074,0.1319,0.14555,0.1509,0.19624,0.16024,0.14203,0.14803,0.33118,0.28761,0.27274,0.26289,0.23658,0.29567,0.26459,0.26389,0.2262,0.19575,0.24523,0.23913,0.27109,0.251,0.26767,0.27676,0.14778,0.16167,0.19161,0.175,0.15756,0.17098,0.15511,0.17114,0.20353,0.17941,0.16347,0.20374,0.18657,0.15799,0.17923,0.20314,0.22959,0.15735,0.14233,0.18155,0.19992,0.19702,0.16017,0.192,0.25665,0.22636,0.29433,0.2373,0.2065,0.19828,0.26551,0.20865,0.34878,0.38128,0.35952,0.37122,0.28389,0.26574,0.29814,0.30615,0.25055,0.2632,0.2799,0.24402,0.23319,0.26817,0.28116,0.27135,0.31157,0.26378,0.31742,0.28028,0.33883,0.32747,0.29983,0.33861,0.45328,0.41726,0.40379,0.38021,0.36094,0.35998,0.37045,0.41588,0.42919,0.465,0.49835,0.4789,0.44587,0.49234,0.42898,0.41181,0.40184,0.39481,0.47024,0.41165,0.57085,0.59423,0.44629,S1
2.3605,2.1534,0.26238,0.74653,0.2611,0.28534,0.2383,0.26029,0.65543,0.47291,0.41027,0.4817,0.2611,0.18199,0.49755,0.34042,0.80936,1.1815,0.63304,0.75471,0.35381,0.48118,0.52108,0.57714,0.51216,0.45815,0.36436,0.36116,0.39882,0.4453,0.27344,0.43152,1.2615,1.1618,1.208,1.4175,1.1464,1.0924,1.5985,1.5377,1.2917,1.2554,1.2675,1.4344,1.0534,1.5123,1.451,1.3496,0.8035,0.98017,0.59675,0.7142,0.99599,1.0845,0.51006,0.58999,1.3357,1.1424,1.4132,1.7661,0.83174,1.1657,1.205,1.012,0.32277,0.17244,0.1439,0.2129,0.23693,0.18321,0.14769,0.16338,0.27882,0.25491,0.23603,0.20931,0.22077,0.19965,0.28337,0.24928,0.43785,0.50135,0.37427,0.41031,0.4423,0.4772,0.41041,0.44219,0.2946,0.31784,0.46805,0.29588,0.47168,0.51083,0.43174,0.49048,1.2392,1.0176,1.1936,1.138,0.98605,0.90291,1.391,1.1642,0.88427,0.7305,0.73039,0.7722,0.90351,0.79757,0.82681,0.67751,0.60881,0.52561,0.48237,0.45264,0.7272,0.59892,0.44762,0.46845,0.80843,0.9552,0.68614,1.0779,0.69901,0.87622,0.646,0.83503,0.28326,0.16786,0.17051,0.19739,0.2002,0.18463,0.16365,0.18212,0.22299,0.17226,0.14931,0.15169,0.19733,0.16711,0.16825,0.20126,0.17148,0.14647,0.17318,0.17138,0.1743,0.1858,0.17257,0.18875,0.18458,0.1619,0.16201,0.16619,0.17865,0.17352,0.17319,0.15179,0.25594,0.29331,0.2806,0.26636,0.26084,0.24925,0.2924,0.30896,0.24789,0.21621,0.22652,0.22087,0.23539,0.25395,0.22827,0.23769,0.18553,0.14633,0.1671,0.18002,0.16119,0.20427,0.1565,0.19752,0.19453,0.16488,0.19286,0.19319,0.17536,0.17451,0.17466,0.18414,0.16126,0.13469,0.15874,0.16704,0.21607,0.17075,0.1587,0.15933,0.24373,0.22235,0.24268,0.23504,0.23772,0.21778,0.24031,0.23221,0.40642,0.37111,0.38181,0.39712,0.30327,0.28671,0.40178,0.43786,0.19354,0.2167,0.30058,0.25701,0.25191,0.27281,0.28774,0.29435,0.50059,0.29306,0.3266,0.34778,0.37326,0.35937,0.33688,0.36362,0.41449,0.39208,0.42515,0.4172,0.34849,0.36044,0.35917,0.42207,0.45137,0.41956,0.55009,0.44621,0.55154,0.50442,0.54338,0.56265,0.42042,0.41497,0.46065,0.43579,0.5205,0.59145,0.43158,S1
0.8288,2.1169,0.20615,0.611,0.21638,0.25334,0.23256,0.23104,0.56552,0.51424,0.36735,0.47733,0.28666,0.2333,0.39272,0.41094,1.053,1.0334,0.8373,0.85463,0.44372,0.44749,0.49373,0.57708,0.41883,0.42675,0.44415,0.38257,0.39479,0.45983,0.29181,0.49602,1.2809,1.1636,1.4014,1.2619,1.2706,1.0214,1.746,1.4021,1.3286,1.3126,1.2737,1.5501,1.0987,1.5086,1.3861,1.3229,1.0103,1.0422,0.62617,0.73873,1.1915,0.92431,0.51539,0.5804,1.4612,1.3083,1.21,1.6803,0.94778,1.1859,1.1428,1.0036,0.13396,0.16288,0.16133,0.14176,0.193,0.1792,0.14206,0.15488,0.2467,0.25046,0.24422,0.24989,0.17806,0.20217,0.28837,0.24898,0.42325,0.42912,0.40889,0.49036,0.46373,0.42962,0.4079,0.45122,0.27115,0.28217,0.48829,0.3266,0.4542,0.53221,0.47321,0.47792,1.2704,1.1428,1.0731,1.1498,1.0907,0.77545,1.2613,1.1808,0.62909,0.70035,0.77367,0.77077,0.89421,0.86267,0.93216,0.73015,0.47568,0.47619,0.45948,0.50739,0.70848,0.66454,0.44333,0.50263,0.74277,0.84966,0.69121,0.8712,0.68002,0.74266,0.56781,0.58506,0.3811,0.18364,0.18438,0.26531,0.17971,0.18911,0.19004,0.20825,0.17438,0.14242,0.17894,0.18272,0.19327,0.16294,0.15825,0.16406,0.17875,0.14146,0.16955,0.16701,0.19546,0.20399,0.18667,0.17345,0.17237,0.1489,0.16068,0.15108,0.18815,0.16634,0.14573,0.14772,0.30409,0.27852,0.27554,0.28558,0.25486,0.27658,0.28225,0.26545,0.19458,0.20733,0.22584,0.20223,0.26243,0.28247,0.25938,0.25791,0.18138,0.1524,0.17184,0.16474,0.1718,0.18024,0.18474,0.14995,0.19107,0.18306,0.1597,0.18859,0.17946,0.17183,0.18797,0.19517,0.20755,0.15344,0.16397,0.16741,0.18465,0.18624,0.14419,0.15093,0.23684,0.20174,0.24891,0.22932,0.19272,0.21023,0.24255,0.22532,0.39888,0.41656,0.35266,0.35049,0.3033,0.263,0.29984,0.29749,0.23463,0.21603,0.25471,0.21772,0.25123,0.28061,0.3072,0.26919,0.32741,0.27045,0.34218,0.37393,0.3231,0.31031,0.34424,0.3267,0.44709,0.37955,0.41028,0.45422,0.36037,0.37767,0.393,0.40248,0.58138,0.45318,0.52892,0.46778,0.45775,0.45691,0.41867,0.42692,0.44987,0.45993,0.51555,0.4736,0.55207,0.57981,0.53127,S1
1.7552,2.298,0.30152,0.75554,0.18826,0.26455,0.25215,0.27625,0.49264,0.37898,0.37122,0.35704,0.20344,0.19348,0.32146,0.28939,1.1903,0.90492,0.81319,0.9823,0.86017,0.45639,0.52469,0.53447,0.31618,0.32001,0.51425,0.36797,0.75448,0.43799,0.39026,0.48105,1.4037,1.8618,1.358,1.5049,1.2854,1.3458,1.837,1.2632,1.6145,1.2697,1.6516,1.5834,1.1033,1.172,1.2677,1.0873,0.73128,0.8588,0.78531,0.8556,1.2108,0.86222,0.59655,0.68408,1.5381,1.5585,1.5517,2.1625,1.0396,1.372,1.2222,1.1792,0.24346,0.17882,0.19169,0.23145,0.19421,0.2026,0.15964,0.1821,0.31372,0.2672,0.33044,0.26395,0.19989,0.27596,0.28195,0.28884,0.52342,0.46777,0.54693,0.48153,0.5329,0.59898,0.49451,0.54265,0.30608,0.30963,0.56031,0.40401,0.48888,0.4557,0.60931,0.55793,1.4639,1.6421,1.1083,1.4385,1.1113,1.0523,1.4989,1.0174,0.94669,0.80766,0.80225,0.78359,1.01,0.8445,0.75116,0.68749,0.45566,0.5927,0.65306,0.62256,0.80682,0.79788,0.49474,0.61299,0.79148,0.79651,0.7678,0.95221,0.77019,0.68483,0.67044,0.61208,0.33044,0.18811,0.18139,0.18988,0.17767,0.19811,0.16375,0.1878,0.18538,0.17529,0.15066,0.17525,0.16408,0.14903,0.15615,0.15264,0.14036,0.1511,0.15572,0.16116,0.1847,0.19883,0.16716,0.20355,0.18189,0.15381,0.16316,0.16111,0.19221,0.1836,0.18937,0.16185,0.39766,0.28605,0.26943,0.29814,0.27528,0.28548,0.25966,0.27109,0.19487,0.19452,0.23776,0.24665,0.23664,0.22673,0.27347,0.26587,0.15615,0.16777,0.17818,0.14597,0.17248,0.20803,0.16924,0.17112,0.21762,0.20356,0.1796,0.18667,0.16521,0.19695,0.18125,0.26292,0.15934,0.18166,0.17044,0.1784,0.19445,0.21635,0.15589,0.20157,0.26799,0.2747,0.24919,0.2484,0.18554,0.1985,0.25435,0.24783,0.48653,0.51914,0.42168,0.41863,0.30419,0.33783,0.36092,0.33943,0.25359,0.28669,0.34882,0.27356,0.30448,0.28082,0.32559,0.35625,0.31838,0.2472,0.2741,0.31197,0.36738,0.3184,0.33092,0.34722,0.47068,0.5287,0.45225,0.4174,0.34887,0.34537,0.36163,0.46953,0.46829,0.59379,0.5535,0.59628,0.57879,0.49825,0.54066,0.51751,0.45487,0.51774,0.4845,0.52148,0.58125,0.52468,0.53004,S1
2.2502,2.5104,0.32449,0.83261,0.19513,0.3442,0.2348,0.28534,0.46636,0.3785,0.38349,0.36844,0.22971,0.1967,0.3336,0.306,0.97372,0.87118,0.66241,0.93671,0.7839,0.44586,0.55755,0.65805,0.33107,0.30545,0.48164,0.37244,0.85657,0.40699,0.35085,0.38395,1.938,1.746,1.4557,1.705,1.3926,1.2623,1.4514,1.3361,1.6321,1.2943,1.3721,1.7659,1.1756,1.3221,1.34,1.2065,1.0082,0.94437,0.67697,0.84699,1.1961,0.84939,0.59959,0.62893,1.6289,1.5047,1.3886,2.3984,1.0314,1.4681,1.3662,1.9452,0.2874,0.17691,0.18076,0.21427,0.22392,0.21487,0.17234,0.1909,0.2785,0.26626,0.26374,0.30405,0.21479,0.22301,0.27285,0.2518,0.46182,0.46953,0.48029,0.46958,0.47834,0.56308,0.47549,0.46204,0.29379,0.35462,0.60249,0.43324,0.42534,0.47389,0.57717,0.54133,1.2266,1.4694,1.2827,1.4842,1.2731,1.1312,1.1337,1.0705,0.78765,0.82335,0.86953,0.89879,1.0168,0.83749,0.70927,0.70514,0.43055,0.48774,0.49636,0.51367,0.63753,0.64196,0.53289,0.56013,0.81844,0.92954,0.61149,0.96805,0.68661,0.66123,0.66596,0.62085,0.23856,0.17779,0.17911,0.2007,0.19539,0.174,0.17163,0.18407,0.18499,0.16185,0.16671,0.16909,0.1814,0.1659,0.15144,0.15713,0.16907,0.15242,0.16232,0.17246,0.17831,0.18279,0.18462,0.17142,0.15713,0.16803,0.18092,0.14389,0.20999,0.20133,0.16773,0.16895,0.24672,0.2618,0.25726,0.23931,0.2576,0.26724,0.25,0.272,0.22257,0.22657,0.23229,0.27588,0.27068,0.28261,0.25446,0.28353,0.2045,0.16181,0.15297,0.18107,0.17566,0.1821,0.17864,0.16544,0.17024,0.19801,0.18823,0.21376,0.18365,0.16519,0.16881,0.18376,0.3799,0.16889,0.17235,0.24126,0.18461,0.18913,0.18479,0.17391,0.27153,0.26525,0.25059,0.24782,0.22248,0.19286,0.25573,0.22977,0.4126,0.48945,0.35673,0.38883,0.30346,0.2905,0.32742,0.3342,0.2705,0.25716,0.32779,0.25683,0.31484,0.27308,0.33812,0.30695,0.25852,0.28636,0.2859,0.276,0.38469,0.37366,0.30022,0.30056,0.47564,0.44764,0.42577,0.43806,0.42427,0.43116,0.48216,0.44055,0.36942,0.52388,0.54419,0.54303,0.48897,0.50345,0.54892,0.51534,0.46841,0.50825,0.53162,0.52329,0.52442,0.57004,0.5312,S1
